pk_service_type;fk_package_type;serviceTypeCode;submitterNumber;submitterTypeId;minValue;maxValue;currentValue;visible;isCod;hasDeliveryPoints;labelText;name;reportname;palletteMinValue;palletteMaxValue;palletteCurrentValue;pallettePrefix;isPalletteType;fk_image_logo;paymentType;printLabel
553;1033;HR_POST_PP;X;4635;1;9999999999;1;0;NULL;1;NULL;HR Chorvatská pošta PP;HR Chorvatská pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
554;1033;CH_POST_HD;X;3294;1;9999999999;1;0;NULL;0;NULL;CH LI Švýcarská pošta HD;CH LI Švýcarská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
555;1033;CH_POST_PP;X;3870;1;9999999999;1;0;NULL;0;NULL;CH LI Švýcarská pošta prioritní HD;CH LI Švýcarská pošta prioritní HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
556;1033;IE_HERMES;X;4524;1;9999999999;1;0;NULL;0;NULL;IE Hermes HD;IE Hermes HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
557;1033;LT_OMNIVA_BOX;X;5066;1;9999999999;1;0;NULL;1;NULL;LT Omniva Box;LT Omniva Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
558;1033;LT_OMNIVA_HD;X;5065;1;9999999999;1;0;NULL;0;NULL;LT Omniva HD;LT Omniva HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
559;1033;LU_DPD;X;4834;1;9999999999;1;0;NULL;0;NULL;LU DPD HD;LU DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
560;1033;LU_POST_HD;X;8125;1;9999999999;1;0;NULL;0;NULL;LU Lucemburská pošta HD;LU Lucemburská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
561;1033;LV_OMNIVA_BOX;X;5064;1;9999999999;1;0;NULL;1;NULL;LV Omniva Box;LV Omniva Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
562;1033;LV_OMNIVA_HD;X;5063;1;9999999999;1;0;NULL;0;NULL;LV Omniva HD;LV Omniva HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
563;1033;NL_DHL_HD;X;8000;1;9999999999;1;0;NULL;0;NULL;NL DHL HD;NL DHL HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
564;1033;NL_DHL_PP;X;8001;1;9999999999;1;0;NULL;1;NULL;NL DHL PP;NL DHL PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
565;1033;NL_POST_HD;X;4329;1;9999999999;1;0;NULL;0;NULL;NL Nizozemská pošta HD;NL Nizozemská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
566;1033;PT_MRW_HD;X;4655;1;9999999999;1;0;NULL;0;NULL;PT MRW HD;PT MRW HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
567;1033;PT_MRW_PP;X;4656;1;9999999999;1;0;NULL;1;NULL;PT MRW PP;PT MRW PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
568;1033;RO_SAMEDAY;X;7397;1;9999999999;1;0;NULL;0;NULL;RO Sameday HD;RO Sameday HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
569;1033;RU_POST_RR_PP;X;5102;1;9999999999;1;0;NULL;0;NULL;RU Ruská pošta doporučený balík PP;RU Ruská pošta doporučený balík PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
570;1033;RU_POST_HD;X;5101;1;9999999999;1;0;NULL;0;NULL;RU Ruská pošta EMS HD;RU Ruská pošta EMS HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
571;1033;RU_POST_PP;X;4559;1;9999999999;1;0;NULL;0;NULL;RU Ruská pošta PP;RU Ruská pošta PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
572;1033;SE_POST_HD;X;4827;1;9999999999;1;0;NULL;0;NULL;SE Post Nord HD;SE Post Nord HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
573;1033;SE_POST_PP;X;4826;1;9999999999;1;0;NULL;1;NULL;SE Post Nord PP;SE Post Nord PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
574;1033;SI_DPD_HD;X;4949;1;9999999999;1;0;NULL;0;NULL;SI DPD HD;SI DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
575;1033;SI_DPD_PP;X;4950;1;9999999999;1;0;NULL;1;NULL;SI DPD PP;SI DPD PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
576;1033;US_FEDEX_ECO;X;19326;1;9999999999;1;0;NULL;0;NULL;US FedEx HD Economy;US FedEx HD Economy;NULL;NULL;NULL;NULL;0;NULL;NULL;1
577;1033;US_FEDEX_PRI;X;19325;1;9999999999;1;0;NULL;0;NULL;US Fedex HD Priority;US Fedex HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
578;1033;DE_BDS;X;13613;1;9999999999;1;1;NULL;0;NULL;DE Doručení na adresu HD;DE Doručení na adresu HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
579;1033;HR_OVERSEAS_HD;X;10618;1;9999999999;1;1;NULL;0;NULL;HR Overseas HD;HR Overseas HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
580;1033;HR_OVERSEAS_PP;X;10619;1;9999999999;1;1;NULL;1;NULL;HR Overseas PP;HR Overseas PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
581;1033;AE_ARAMEX_HD;X;10693;1;9999999999;1;1;NULL;0;NULL;AE Aramex HD;AE Aramex HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
582;1033;BE_NLPOST_HD;X;4832;1;9999999999;1;1;NULL;0;NULL;BE Nizozemská pošta HD;BE Nizozemská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
583;1033;BG_HD;X;23603;1;9999999999;1;1;NULL;0;NULL;BG Home Delivery HD;BG Home Delivery HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
584;1033;EE_LTPOST_HD;X;18805;1;9999999999;1;1;NULL;0;NULL;EE Lithuanian Post HD;EE Lithuanian Post HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
585;1033;GB_FEDEX_HD_CONN;X;24808;1;9999999999;1;1;NULL;0;NULL;GB FedEx HD Connect Plus;GB FedEx HD Connect Plus;NULL;NULL;NULL;NULL;0;NULL;NULL;1
586;1033;GB_FEDEX_HD_PRI;X;24809;1;9999999999;1;1;NULL;0;NULL;GB FedEx HD Priority;GB FedEx HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
587;1033;GR_BOXNOW_BOX;X;20409;1;9999999999;1;1;NULL;1;NULL;GR BoxNow Box;GR BoxNow Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
588;1033;GR_SPEEDEX_HD;X;12235;1;9999999999;1;1;NULL;0;NULL;GR Speedex HD;GR Speedex HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
589;1033;IE_FASTWAY_HD;X;9990;1;9999999999;1;1;NULL;0;NULL;IE Fastway HD;IE Fastway HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
590;1033;IE_FEDEX_HD_CONN;X;24810;1;9999999999;1;1;NULL;0;NULL;IE FedEx HD Connect Plus;IE FedEx HD Connect Plus;NULL;NULL;NULL;NULL;0;NULL;NULL;1
591;1033;IE_FEDEX_HD_PRI;X;24811;1;9999999999;1;1;NULL;0;NULL;IE FedEx HD Priority;IE FedEx HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
592;1033;IL_FEDEX_HD_ECO;X;19330;1;9999999999;1;1;NULL;0;NULL;IL FedEx HD Economy;IL FedEx HD Economy;NULL;NULL;NULL;NULL;0;NULL;NULL;1
593;1033;IL_FEDEX_HD_PRI;X;19329;1;9999999999;1;1;NULL;0;NULL;IL FedEx HD Priority;IL FedEx HD Priority;NULL;NULL;NULL;NULL;0;NULL;NULL;1
